Drug Take-Back Site,Zip Code,County,County Code Number,County Code,FIPS County Code,State FIPS,Phone Number,Hours of Availability,Location 1
Upper Perkiomen Police Dept.,18073,Montgomery,46,46,46,42,(215) 679-4131,"Monday-Friday, 8am-4:30pm","88 West 6th Street
Pennsburg, Pennsylvania
(40.3941, -75.4959)"
Pittston City Police Dept. Headquarters,18640,Luzerne,40,40,40,42,(570) 654-0513,"Monday-Friday, 8am-4:30pm","35 Broad Street
Pittston, Pennsylvania
(41.322, -75.7893)"
Walgreens Pharmacy (Butler Location),16001,Butler,10,10,10,42,(724) 282-9414 ,Contact location for hours,"280 New Castle Rd
Butler, Pennsylvania
(40.8733, -79.9394)"
Monroeville Police Dept.,15146,Allegheny,2,2,2,42,(412) 343-3400,Contact location for hours,"2700 Monroeville Boulevard
Monroeville, Pennsylvania
(40.4359, -79.7797)"
Mt. Lebanon Police Department,15228,Allegheny,2,2,2,42,(412) 343-4016,"7 days a week, 24 hours a day","555 Washington Road
Mt Lebanon, Pennsylvania
(40.3834, -80.0435)"
State Police-Troop M / Dublin,18944,Bucks,9,9,9,42,NA,NA,"3218 Rickert Rd.
Perkasie, Pennsylvania
(40.3762, -75.2109)"
"PA Fish and Boat Commission | Bureau of Outreach, Education & Marketing",17110,Dauphin,22,22,22,42,(717) 705 7800,"Monday-Friday, 8am-4pm","1601 Elmerton Ave.
Harrisburg, Pennsylvania
(40.2924, -76.8618)"
Township of Hampton Police Dept.,15101,Allegheny,2,2,2,42,(412) 486-0400,Contact location for hours,"3101 McCully Road
Allison Park, Pennsylvania
(40.5856, -79.9337)"
Jackson Township Police Dept.,16063,Butler,10,10,10,42,(724) 452-5600,Contact location for hours,"140 Magill Road
Zelienople, Pennsylvania
(40.7929, -80.1043)"
Darby Borough Police Department,19023,Delaware,23,23,23,42,NA,NA,"821 Summit Street
Darby, Pennsylvania
(39.9211, -75.2579)"
Center Township Police Dept.,15001,Beaver,4,4,4,42,(724) 774-0271,Contact location for hours,"224 Center Grange Road
Aliquippa, Pennsylvania
(40.6484, -80.2996)"
Walgreens Pharmacy (North Philadelphia Location),19124,Philadelphia,51,51,51,42,(215) 537-2304 ,Contact location for hours,"4001 Kensington Avenue
Philadlephia, Pennsylvania
(40.0069, -75.093)"
Centre County Government,16823,Centre,14,14,14,42,(814) 355-6803,Contact location for hours,"420 Holmes Street
Bellefonte, Pennsylvania
(40.9065, -77.7831)"
Nether Providence Township Police Department,19086,Delaware,23,23,23,42,NA,NA,"214 Sykes Road
Wallingford, Pennsylvania
(39.9004, -75.3686)"
Borough of Green Tree Police Dept.,15220,Allegheny,2,2,2,42,(412) 921-8624,Contact location for hours,"10 West Manilla Avenue
Pittsburgh, Pennsylvania
(40.4188, -80.047)"
Tiadaghton Valley Regional Police Dept.,17740,Lycoming,41,41,41,42,(570) 398-2146,"Monday-Friday, 9am-5pm","129 South Pennsylvania Ave.
Jersey Shore, Pennsylvania
(41.2008, -77.2557)"
Tullytown Borough Police,19007,Bucks,9,9,9,42,(215) 945-0999,"Monday-Friday, 8am-4pm","500 Main Street
Tullytown, Pennsylvania
(40.142, -74.8115)"
South Abington Police Dept.,18410,Lackawanna,35,35,35,42,(570) 586-2111,"Monday-Friday, 8am-4pm","104 Shady Lane Road
Chinchilla, Pennsylvania
(41.4736, -75.6864)"
Elkland Borough Police,16920,Tioga,59,59,59,42,(814) 258-5419 ,"Monday-Friday, 8am-4pm, or by appointment","105 Parkhurst St.
Elkland, Pennsylvania
(41.9872, -77.3137)"
Frackville Police Dept. ,17931,Schuylkill,54,54,54,42,(570) 874-0238,Contact location for hours,"42 S. Center Street
Frackville, Pennsylvania
(40.7831, -76.2348)"
Philadelphia Police Dept.-19th Police District,19151,Philadelphia,51,51,51,42,(215) 686-3190,Contact location for hours,"6059 Haverford Ave #1 (Box located at 61st & Thompson Streets)
Philadelphia, Pennsylvania
(39.971, -75.2407)"
Palmerton Police Dept.,18071,Carbon,13,13,13,42,(610) 826-4055,Contact location for hours,"401 Delaware Avenue
Palmerton, Pennsylvania
(40.8029, -75.608)"
Walgreens Pharmacy (Allentown Location),18104,Lehigh,39,39,39,42,(610) 435û3605,Contact location for hours,"1702 W. Tilghman Street
Allentown, Pennsylvania
(40.6054, -75.497)"
City of Coatesville Police Department,19320,Chester,15,15,15,42,(610) 384-2300,"7 days a week, 24 hours a day","1 City Hall
Coatesville, Pennsylvania
(39.9822, -75.8205)"
Annville Twp Police Department,17003,Lebanon,38,38,38,42,(717) 867-2711,"Monday-Friday, 9am-3pm","36 North Lancaster Street
Annville, Pennsylvania
(40.3299, -76.5173)"
Castle Shannon Police Dept.,15234,Allegheny,2,2,2,42,(412) 885-6300,Contact location for hours,"3310 McRoberts Road
Castle Shannon, Pennsylvania
(40.3675, -80.0092)"
State Police-Troop B / Pittsburgh,15108,Allegheny,2,2,2,42,NA,NA,"449 McCormick Rd.
Moon Township, Pennsylvania
(40.4789, -80.1942)"
Glenolden Borough Poice Department,19036,Delaware,23,23,23,42,NA,NA,"38 Boon Avenue
Glenolden, Pennsylvania
(39.8991, -75.2883)"
Pike County Sheriff's Office,18337,Pike,52,52,52,42,(570) 296-6459,"Monday-Friday, 8:30am-4pm","500 Broad Street
Milford, Pennsylvania
(41.3245, -74.8006)"
Coudersport Borough Police Dept.,16915,Potter,53,53,53,42,(814) 274-8970,Contact location for hours,"201 South West Street
Coudersport, Pennsylvania
(41.7715, -78.0234)"
Lower Chichester Township Police Department,19061,Delaware,23,23,23,42,NA,NA,"1410 Market Street
Linwood, Pennsylvania
(39.8249, -75.4222)"
Ambridge Police Dept.,15003,Beaver,4,4,4,42,(724) 266-5977,Contact location for hours,"600 11th Street
Ambridge, Pennsylvania
(40.5931, -80.2279)"
Sayre Police Dept.,18840,Bradford,8,8,8,42,(570) 888-2437,Contact location for hours,"234 South Lehigh Avenue
Sayre, Pennsylvania
(41.9799, -76.5144)"
Delaware County Government Center,19063,Delaware,23,23,23,42,(610) 891-5381 ,"Monday-Friday, 8:30am-4:30pm","201 W. Front Street
Media, Pennsylvania
(39.9197, -75.3913)"
West Goshen Twp. Police Dept.,19380,Chester,15,15,15,42,(610) 696-7400,"Monday-Friday, 7am-10:30pm","1025 Paoli Pike
West Chester, Pennsylvania
(39.9732, -75.5823)"
Wind Gap Boro Police Department,18091,Northampton,48,48,48,42,(610) 759-8517,"Monday-Friday, 8am-4pm","29 Mechanic Street
Wind Gap, Pennsylvania
(40.847, -75.2932)"
Dauphin County Sheriff's Office,17101,Dauphin,22,22,22,42,(717) 780-6590,"Monday-Friday, 8am-4:30pm","101 Market Street
Harrisburg, Pennsylvania
(40.2586, -76.8821)"
Elizabeth Township Police Dept.,15037,Allegheny,2,2,2,42,(412) 751-7325,Contact location for hours,"522 Rock Run Road
Elizabeth, Pennsylvania
(40.2712, -79.8233)"
Emmaus Police Dept.,18049,Lehigh,39,39,39,42,(610) 967-3113,"Monday-Friday, 8am-4pm","400 Jubilee Street
Emmaus, Pennsylvania
(40.5339, -75.4914)"
Allegheny Township Police Dept.,15656,Westmoreland,65,65,65,42,(724) 845-9410,"7 days a week, 24 hours a day","136 Community Building Rd.
Leechburg, Pennsylvania
(40.6095, -79.6102)"
North Sewickley Township Police Dept.,15010,Beaver,4,4,4,42,(724) 843-8118,Contact location for hours,"893 Mercer Road
Beaver Falls, Pennsylvania
(40.7969, -80.2912)"
Southern Regional Police Dept.,17516,Lancaster,36,36,36,42,(717) 872-0352,"Monday-Friday, 7am -3pm, or by appointment","3284 Main Street
Conestoga, Pennsylvania
(39.9411, -76.3442)"
Borough of Baldwin Police Dept.,15227,Allegheny,2,2,2,42,(412) 882-9600,Contact location for hours,"3344 Churchview Avenue
Pittsburgh, Pennsylvania
(40.3834, -79.9569)"
Townville Pharmacy and Ben Franklin Store,17756,Lycoming,41,41,41,42,(570) 546-8272,Contact location for hours,"2195 Rt 442 HWY
Muncy, Pennsylvania
(41.1983, -76.7253)"
Lancaster County Sheriff's Dept.,17603,Lancaster,36,36,36,42,(717) 299-8200,"Monday-Friday, 8am-5pm","50 North Duke Street
Lancaster, Pennsylvania
(40.0393, -76.3042)"
Kiskiminetas Township Police Dept.,15613,Armstrong,3,3,3,42,(724) 478-3357,Contact location for hours,"1222 Old State Road
Apollo, Pennsylvania
(40.5851, -79.5289)"
State Police-Troop K / Philadelphia,19131,Philadelphia,51,51,51,42,NA,NA,"2201 Belmont Ave.
Philadelphia, Pennsylvania
(39.9975, -75.2181)"
Upland Borough Police,19015,Delaware,23,23,23,42,NA,NA,"224 Castle Ave.
Brookhaven, Pennsylvania
(39.8568, -75.3816)"
Sugarcreek Borough Police Dept.,16323,Venango,61,61,61,42,(814) 437-3703,"Monday-Friday, 8am-4pm","212 Fox Street
Franklin, Pennsylvania
(41.4079, -79.8266)"
Quakertown Borough Police,18951,Bucks,9,9,9,42,(215) 536-5002,"Monday-Friday, 8:30am-5pm","35 N. Third Street
Quakertown, Pennsylvania
(40.4424, -75.3362)"
Narberth Police Dept.,19072,Montgomery,46,46,46,42,(610) 649-1000,Contact location for hours,"100 Conway Avenue
Narberth, Pennsylvania
(40.0049, -75.2646)"
Apollo Borough Police Dept.,15613,Armstrong,3,3,3,42,(724) 478-4201,Contact location for hours,"616D First Street
Apollo, Pennsylvania
(40.5836, -79.5597)"
Barrett Township Police Department,18326,Monroe,45,45,45,42,(570) 595-3476,Contact location for hours,"993 Route 390
Cresco, Pennsylvania
(41.1718, -75.2714)"
North East Borough Police,16428,Erie,25,25,25,42,(814) 725-8611,Contact location for hours,"31 W Main St
North East, Pennsylvania
(42.2156, -79.8362)"
Camp Hill Police Dept.,17011,Cumberland,21,21,21,42,(717) 737-1570,"Monday-Friday, 7:30am-3:30pm","2199 Walnut Street
Camp Hill, Pennsylvania
(40.2415, -76.9222)"
Centre County Sheriff's Office,16823,Centre,14,14,14,42,(814) 355-6803,Contact location for hours,"213 East High Street
Bellefonte, Pennsylvania
(40.9126, -77.7763)"
Mercersburg Police Dept.,17236,Franklin,28,28,28,42,(717) 328-3647,Contact location for hours,"113 South Main Street
Mercersburg, Pennsylvania
(39.8263, -77.9036)"
Tatamy Borough Police Dept.,18085,Northampton,48,48,48,42,(610) 252-2260,Contact location for hours,"423 Broad Street
Tatamy, Pennsylvania
(40.7406, -75.2532)"
Brecknock Twp. Police Department,19540,Berks,6,6,6,42,(717) 445-0656,"Monday-Friday, 9am-2pm","889 Alleghenyville Road
Mohnton, Pennsylvania
(40.221, -75.9737)"
Butler Township Police Dept.,16001,Butler,10,10,10,42,(724) 285-9600,"Monday-Friday, 8am-4:30pm","290 South Duffy Road
Butler, Pennsylvania
(40.8599, -79.9404)"
Northeastern Regional Police Department,17347,York,67,67,67,42,(717) 266-6195,"Monday-Friday, 7:30am-4pm","5570 Broad Road
Mount Wolf, Pennsylvania
(40.0632, -76.7039)"
Wellsboro Borough Police Station ,16901,Tioga,59,59,59,42,(570) 724-4400,Contact location for hours,"28 Crafton St
Wellsboro, Pennsylvania
(41.7472, -77.3003)"
Borough of Oxford Police Dept.,19363,Chester,15,15,15,42,(610) 998-0032,"Monday-Friday, 8am-4:30pm","57 North Fourth Street
Oxford, Pennsylvania
(39.7862, -75.9773)"
South Londonderry Township Police Department,17078,Lebanon,38,38,38,42,(717) 838-1376,"Monday-Friday, 9am-3pm","27 W. Market St.
Palmyra, Pennsylvania
(40.2786, -76.5829)"
Borough of Lehighton Police Dept.,18235,Carbon,13,13,13,42,(610) 377-4003,"Monday-Friday, 8:30am-5pm","124 South Third Street
Lehighton, Pennsylvania
(40.8328, -75.712)"
Bradford County Coroner's Office,16947,Bradford,8,8,8,42,(570) 297-0720,"Monday-Friday, 9am-5pm  ","129 Canton St.
Troy, Pennsylvania
(41.7837, -76.7898)"
WellSpan Pharmacy (York),17403,York,67,67,67,42,(717) 741-8150,"Monday-Friday, 8am-8pm; Saturday 8am-12pm","25 Monument Road, Suite 265
York, Pennsylvania
(39.9247, -76.7166)"
Sandy Township Police Dept.,15801,Clearfield,17,17,17,42,(814) 371-4220,Contact location for hours,"1094 Chestnut Avenue
DuBois, Pennsylvania
(41.1132, -78.7378)"
Chester Police,19013,Delaware,23,23,23,42,NA,NA,"160 E. 7th St.
Chester, Pennsylvania
(39.8516, -75.3593)"
South Whitehall Twp. Police Dept.,18104,Lehigh,39,39,39,42,(610) 398-0337,"Monday-Friday, 8am-4pm","4444 Walbert Avenue
Allentown, Pennsylvania
(40.6163, -75.5152)"
Berks County Coroner's Office,19605,Berks,6,6,6,42,(610) 478-3280,"7 days a week, 8am-5pm","1047 MacArthur Road, Suite 200
Reading, Pennsylvania
(40.3782, -75.975)"
Columbia Borough Police Dept.,17512,Lancaster,36,36,36,42,(717) 684-7735,"Monday, 8am-4pm; Tuesday-Saturday, 8am-4pm and 6pm-2am","308 Locust Street
Columbia, Pennsylvania
(40.0319, -76.5021)"
Crawford Co. Sheriff's Dept.,16335,Crawford,20,20,20,42,(814) 333-7411,"Monday-Friday, 8:30am-4:30pm","903 Diamond Park
Meadville, Pennsylvania
(41.6385, -80.1496)"
Indiana County District Attorney's Office,15701,Indiana,32,32,32,42,(724) 465-3835,"Monday-Friday, 8am-4pm","825 Philadelphia Street
Indiana, Pennsylvania
(40.623, -79.1549)"
Bradford Township Police Dept.,16701,McKean,42,42,42,42,(814) 368-3564,Contact location for hours,"136 Hemlock Street
Bradford, Pennsylvania
(41.9314, -78.652)"
Northern Bedford Pharmacy,16664,Bedford,5,5,5,42,(814) 766-0124,"Monday-Friday, 8am-6pm; Saturday, 9am-2pm; closed Sundays and holidays","3499 Brumbaugh Rd
New Enterprise, Pennsylvania
(40.1697, -78.4154)"
Philadelphia Police Dept.-35th Police District,19141,Philadelphia,51,51,51,42,(215) 686-3350,Contact location for hours,"N. Broad & Champlost Sts.
Philadelphia, Pennsylvania
(40.0444, -75.1435)"
Littlestown Borough Police Department,17340,Adams,1,1,1,42,(717) 359-4511,"Monday-Friday, 7am-3:30pm","10 South Queen Street
Littlestown, Pennsylvania
(39.7446, -77.0878)"
Mechanicsburg Borough Police Dept. ,17055,Cumberland,21,21,21,42,(717) 691-3300,"Monday-Friday, 8:30am-4:30pm","36 West Allen Street
Mechanicsburg, Pennsylvania
(40.2143, -77.0103)"
Walgreens Pharmacy (Glenolden Location),19036,Delaware,23,23,23,42,(610) 586û5224,Contact location for hours,"150 N. Macdade Blvd.
Glenolden, Pennsylvania
(39.9077, -75.2876)"
Towamencin Twp. Police Dept.,19443,Montgomery,46,46,46,42,(215) 368-7606,Contact location for hours,"1090 Troxel Road
Kulpsville, Pennsylvania
(40.2435, -75.3222)"
Penn Hills Police Dept.,15235,Allegheny,2,2,2,42,(412) 795-3500,Contact location for hours,"12245 Frankstown Road
Pittsburgh, Pennsylvania
(40.4721, -79.8198)"
City of Monessen Police Dept.,15062,Westmoreland,65,65,65,42,(724) 684-6151,"Monday-Friday, 8:30am-4:30pm","239 Donner Avenue
Monessen, Pennsylvania
(40.161, -79.8813)"
Health Services Pharmacy ,17701,Lycoming,41,41,41,42,(570) 326-8109,Contact location for hours,"1201 Grampian Blvd # 1H
Williamsport, Pennsylvania
(41.2608, -76.983)"
Sinking Spring Police Department ,19608,Berks,6,6,6,42,(610) 678-1906,"Monday-Friday, 9am-8pm","3940 Penn Avenue
Sinking Spring, Pennsylvania
(40.325, -76.0221)"
State Police-Troop E / Erie,16511,Erie,25,25,25,42,NA,NA,"4320 Iroquois Ave.
Erie, Pennsylvania
(42.1524, -80.0106)"
Beallsville Borough Police Dept.,15313,Washington,63,63,63,42,(724) 632-5420,Contact location for hours,"82A South Street
Beallsville, Pennsylvania
(40.0637, -80.0228)"
Riddle Hospital,19063,Delaware,23,23,23,42,NA,NA,"1068 W. Baltimore Ave.
Media, Pennsylvania
(39.9127, -75.4309)"
Aston Township Police Department,19014,Delaware,23,23,23,42,NA,NA,"5021 Pennell Road
Aston, Pennsylvania
(39.8666, -75.4294)"
Willistown Township Police Dept.,19355,Chester,15,15,15,42,(610) 251-0222,Contact location for hours,"688 Sugartown Road
Malvern, Pennsylvania
(40.0012, -75.5098)"
Susquehanna County Court House,18801,Susquehanna,58,58,58,42,(570) 278-4600,"Monday-Friday, 8:30am-4:30pm","105 Maple St
Montrose, Pennsylvania
(41.832, -75.873)"
Bryn Athyn Police Dept.,19009,Montgomery,46,46,46,42,(215) 947-0118,Contact location for hours,"2825 Buck Road
Bryn Athyn, Pennsylvania
(40.1311, -75.0589)"
New Holland Police Dept.,17557,Lancaster,36,36,36,42,(717) 354-4647,"Monday-Friday, 8am-4:30pm","436 East Main Street
New Holland, Pennsylvania
(40.1042, -76.0765)"
Lower Salford Township Police Dept.,19438,Montgomery,46,46,46,42,(610) 256-9500,Contact location for hours,"379 Main Street
Harleysville, Pennsylvania
(40.2754, -75.3801)"
Smith Township Police Dept.,15078,Washington,63,63,63,42,(724) 947-5069,"Monday-Friday, 9am-3pm","1848 Smith Twp. State Road
Slovan, Pennsylvania
(40.3546, -80.3909)"
Uniontown Police Dept.,15401,Fayette,26,26,26,42,(724) 430-2929,Contact location for hours,"45 East Penn Street
Uniontown, Pennsylvania
(39.9025, -79.7233)"
Jefferson County Court House,15825,Jefferson,33,33,33,42,(814) 849-1613,Contact location for hours,"200 Main Street
Brookville, Pennsylvania
(41.1608, -79.0799)"
Shamokin Police Dept.,17872,Northumberland,49,49,49,42,(570) 648-5708,Contact location for hours,"511 North Franklin Street
Shamokin, Pennsylvania
(40.7913, -76.5503)"
Northampton County Sheriff's Dept.,18042,Northampton,48,48,48,42,(610) 829-6511,Contact location for hours,"669 Washington Street
Easton, Pennsylvania
(40.6879, -75.2173)"
Western Berks Police Department substation at Robesonia Borough Hall,19551,Berks,6,6,6,42,(610) 693-3474,Contact location for hours,"75 S. Brooke St.
Robesonia, Pennsylvania
(40.3518, -76.1373)"
Oil City Police Dept.,16301,Venango,61,61,61,42,(814) 678-3080,"7 days a week, 24 hours a day","21 Seneca Street
Oil City, Pennsylvania
(41.4331, -79.7079)"
Ridgway Police Dept.,15853,Elk,24,24,24,42,(814) 772-0000,Contact location for hours,"108 Main Street
Ridgway, Pennsylvania
(41.4208, -78.7329)"
Somerset Borough Police Dept.,15501,Somerset,56,56,56,42,(814) 445-4596,"Monday-Friday, 8am-4:30pm","340 West Main Street
Somerset, Pennsylvania
(40.0085, -79.0841)"
Penndel Borough Police,19047,Bucks,9,9,9,42,(215) 757-5152,Contact location for hours,"300 S. Bellevue Ave.
Penndel, Pennsylvania
(40.1743, -74.9195)"
Clearfield Borough Police Dept.,16830,Clearfield,17,17,17,42,(814) 765-1533,Contact location for hours,"14 South Front Street
Clearfield, Pennsylvania
(41.0214, -78.4394)"
Carroll Township Police Dept.,15063,Washington,63,63,63,42,(724) 483-5556,"Monday-Friday, 8am-3pm","130 Baird Street
Monongahela, Pennsylvania
(40.1694, -79.9145)"
Fleetwood Police Department ,19522,Berks,6,6,6,42,(610) 944-7011,"Monday-Friday, 8:30am-5pm","110 West Arch Street
Fleetwood, Pennsylvania
(40.4561, -75.8206)"
Hatfield Township Police Department,19440,Montgomery,46,46,46,42,(215) 855-0903,"Monday-Friday, 8am-12pm and 1pm-4pm","2000 School Road
Hatfield, Pennsylvania
(40.2852, -75.2864)"
Whitpain Township Police Department ,19422,Montgomery,46,46,46,42,(610) 279-9033,"7 days a week, 24 hours a day","960 Wentz Road
Blue Bell, Pennsylvania
(40.1618, -75.285)"
Economy Borough Police Dept.,15005,Beaver,4,4,4,42,(724) 860-7877,Contact location for hours,"1000 Kenneth Campbell Way
Baden, Pennsylvania
(40.6573, -80.1825)"
Cumberland County Human Svcs. Building,17013,Cumberland,21,21,21,42,(717) 240-6392,"Monday-Friday, 8am-4:30pm","16 West High Street
Carlisle, Pennsylvania
(40.2014, -77.1904)"
North Middleton Township Police Dept.,17013,Cumberland,21,21,21,42,(717) 243-7910,"Monday-Friday, 7am-4pm","2051 Spring Road
Carlisle, Pennsylvania
(40.2376, -77.1804)"
McDonald Police Dept.--Burgettstown Station,15021,Washington,63,63,63,42,(724) 926-2105,"7 days a week, 24 hours a day","1509 Main Street
Burgettstown, Pennsylvania
(40.382, -80.3932)"
Wyoming County Sheriff's Dept.,18657,Wyoming,66,66,66,42,(570) 836-4681,Contact location for hours,"1 Courthouse Square
Tunkhannock, Pennsylvania
(41.5402, -75.9481)"
Warwick Township Police,18929,Bucks,9,9,9,42,(215) 343-6102 ext. 411,"Monday-Friday, 8am-4pm","1733 Township Greene
Jamison, Pennsylvania
(40.2549, -75.089)"
State Police-Troop J / Avondale,19311,Chester,15,15,15,42,NA,NA,"2 Moxley Ln.
Avondale, Pennsylvania
(39.8373, -75.7987)"
Hollidaysburg Police Dept.,16648,Blair,7,7,7,42,(814) 695-3711,"Monday-Friday, 7am-11pm","401 Blair Street
Hollidaysburg, Pennsylvania
(40.4278, -78.3921)"
Girard Police Department,16417,Erie,25,25,25,42,(814) 774-2651,"7 days a week, 24 hours a day","34 Main St W
Girard, Pennsylvania
(42.0013, -80.318)"
The Medicine Shoppe,16148,Mercer,43,43,43,42,(724) 983-8451,Contact location for hours,"1740 E. State Street
Hermitage, Pennsylvania
(41.2333, -80.4773)"
York City Police Dept.,17401,York,67,67,67,42,(717) 846-1234,"Monday-Friday, 6 am-10:30 pm; call for weekend hours","50 West King Street
York, Pennsylvania
(39.9604, -76.7285)"
Geisinger Medical Center/Bush Pavilion/Knapper Clinic,17821,Montour,47,47,47,42,(570) 271-6691,"7 days a week, 24 hours a day","100 N. Academy Avenue
Danville, Pennsylvania
(40.9678, -76.6053)"
Hilltown Township Police,18927,Bucks,9,9,9,42,(215) 453-6000,"Monday-Friday, 7:30am-4:30pm ","13 West Creamery Road
Hilltown, Pennsylvania
(40.3418, -75.2571)"
Lawrence County District Attorney's Office ,16101,Lawrence,37,37,37,42,(724) 656-1916,"Monday-Friday, 8am-4pm","430 Court St
New Castle, Pennsylvania
(40.9991, -80.3393)"
Washington County Courthouse (c/o Office of the Sheriff),15301,Washington,63,63,63,42,NA,NA,"1 S Main St #2004
Washington, Pennsylvania
(40.1704, -80.2458)"
Crozer-Chester Medical Center,19013,Delaware,23,23,23,42,NA,NA,"1 Medical Center Blvd
Upland, Pennsylvania
(39.8558, -75.3682)"
State Police-Troop C / Kane,16735,McKean,42,42,42,42,NA,NA,"3178 Rt 219
Kane, Pennsylvania
(41.6765, -78.6847)"
Magisterial District Court 25-3-03 ,17764,Clinton,18,18,18,42,(570) 893-4141,Contact location for hours,"112 Ninth Street
Renovo, Pennsylvania
(41.3277, -77.7503)"
City of Franklin Police Dept.,16323,Venango,61,61,61,42,(814) 437-1644,"7 days a week, 24 hours a day","430 13th Street, Ste. B-2
Franklin, Pennsylvania
(41.3972, -79.832)"
WellSpan Pharmacy (Ephrata),17522,Lancaster,36,36,36,42,(717) 721-5784,"Monday-Friday, 7am-7pm, Saturday, 9am-5pm","183 N Reading Road
Ephrata, Pennsylvania
(40.1876, -76.1815)"
Sharon Hill Borough Police Department,19079,Delaware,23,23,23,42,NA,NA,"250 Sharon Avenue
Sharon Hill, Pennsylvania
(39.9067, -75.2723)"
Morrisville Borough Police,19067,Bucks,9,9,9,42,(215) 295-8112,Contact location for hours,"35 Union Street
Morrisville, Pennsylvania
(40.2101, -74.7753)"
Philadelphia Police Dept.-1st Police District,19145,Philadelphia,51,51,51,42,(215) 686-3010,Contact location for hours,"24th & Wolf Streets
Philadelphia, Pennsylvania
(39.924, -75.1866)"
Norwood Borough Police,19074,Delaware,23,23,23,42,NA,NA,"10 W. Cleveland Ave
Norwood, Pennsylvania
(39.8918, -75.2976)"
Bloomsburg Police Dept.,17815,Columbia,19,19,19,42,(570) 784-4155,"Monday-Friday, 8:30am-12am","301 East Second Street
Bloomsburg, Pennsylvania
(41.0047, -76.4535)"
Eastern Adams Regional Police Department,17350,Adams,1,1,1,42,(717) 624-1614,"Monday-Friday, 10am-3pm","110 North Berlin Avenue
New Oxford, Pennsylvania
(39.8661, -77.0531)"
Susquehanna Twp. Police Dept.,17110,Dauphin,22,22,22,42,(717) 652-8265,"Monday-Friday, 8am-4:30pm","1900 Linglestown Road
Harrisburg, Pennsylvania
(40.326, -76.8916)"
Royersford Borough Police Department,19468,Montgomery,46,46,46,42,(610) 256-8041,Contact location for hours,"300 Main Street
Royersford, Pennsylvania
(40.184, -75.5405)"
Muncy Borough Police Dept.,17756,Lycoming,41,41,41,42,(570) 329-4060,Contact location for hours,"14 North Washington St.
Muncy, Pennsylvania
(41.2062, -76.7848)"
State Police-Troop N / Hazleton,18202,Luzerne,40,40,40,42,NA,NA,"250 Dessen Dr.
West Hazleton, Pennsylvania
(40.6478, -75.4292)"
Dickinson College Dept. of Public Safety (Kauffman Building),17013,Cumberland,21,21,21,42,(717) 245-1349,"7 days a week, 24 hours a day","400 West North Street
Carlisle, Pennsylvania
(40.2048, -77.1995)"
Bally Police Department,19503,Berks,6,6,6,42,(610) 845-2400,"Monday-Friday, 8am-4pm","425 Chestnut Street
Bally, Pennsylvania
(40.3998, -75.5901)"
Ligonier Township Police Dept.,15658,Westmoreland,65,65,65,42,(724) 238-5105,"Monday-Friday, 7am-3:30pm","One Municipal Park Drive
Ligonier, Pennsylvania
(40.2595, -79.2066)"
Cambria Co. Sheriff's Dept.,15931,Cambria,11,11,11,42,(814) 472-1691,"Monday-Friday, 9am-4pm; call for weekend hours","200 South Center Street
Ebensburg, Pennsylvania
(40.4864, -78.7248)"
Mt. Lebanon Police Dept.,15228,Allegheny,2,2,2,42,(412) 343-3400,Contact location for hours,"315 Cypress Way
Pittsburgh, Pennsylvania
(40.3755, -80.0373)"
Rostraver Township Police Dept.,15012,Westmoreland,65,65,65,42,(724) 929-8811,"Monday-Friday, 8am-4pm","205 Municipal Drive
Belle Vernon, Pennsylvania
(40.1645, -79.7742)"
Borough of Ambler Police Dept.,19002,Montgomery,46,46,46,42,(215) 646-1000,Contact location for hours,"131 Rosemary Avenue
Ambler, Pennsylvania
(40.1528, -75.2207)"
Lower Merion Township Police Department,19003,Montgomery,46,46,46,42,(610) 649-1000,"Monday-Friday, 7:30am-5pm","71 East Lancaster Ave.
Ardmore, Pennsylvania
(40.0069, -75.288)"
Southern Regional Police Department,17349,York,67,67,67,42,(717) 235-3944,"Monday-Friday, 8am-4pm","47 E. High Street
New Freedom, Pennsylvania
(39.7344, -76.7014)"
Borough of Dupont Police Dept.,18641,Luzerne,40,40,40,42,(570) 655-6216,Contact location for hours,"600 Chestnut Street
Dupoint, Pennsylvania
(41.321, -75.7482)"
Middleburg Police Dept.,17842,Snyder,55,55,55,42,(570) 837-0321,"Monday-Friday, 8am-4pm","13 N. Main Street
Middleburg, Pennsylvania
(40.7928, -77.0467)"
Penn Township Police Dept.,16002,Butler,10,10,10,42,(724) 586-1169,"Monday-Friday, 7:30am-4pm","157 East Airport Road
Butler, Pennsylvania
(40.7813, -79.9225)"
Lower Saucon Township Police Dept.,18015,Northampton,48,48,48,42,(610) 317-6110,Contact location for hours,"3700 Old Philadelphia Pike
Bethlehem, Pennsylvania
(40.586, -75.3895)"
Walgreens Pharmacy (York Location),17402,York,67,67,67,42,(717) 840-3846 ,Contact location for hours,"2350 E MARKET ST.
York, Pennsylvania
(39.9735, -76.6804)"
Vandergrift Police Dept.,15690,Westmoreland,65,65,65,42,(724) 568-5507,"Monday-Friday, 8am-4pm","109 Grant Avenue
Vandergrift, Pennsylvania
(40.6042, -79.5642)"
Mount Carmel Borough Police Dept.,17851,Northumberland,49,49,49,42,(570) 339-6020,"7 days a week, 24 hours a day","137 West Fourth St., Ste. 2
Mount Carmel, Pennsylvania
(40.7955, -76.415)"
